Clause-11	 : ['payment', 'pay', 'payments', 'date', 'receive', 'late', 'insurance', 'collections', 'arrears', 'days', 'month', 'stop', 'miss', 'jan', 'time', 'contact', 'information', 'provide', 'email', 'ask', 'need', 'response', 'refer', 'phone', 'time', 'number', 'team', 'want', 'concern', 'like', 'contact', 'information', 'provide', 'email', 'ask', 'need', 'response', 'refer', 'phone', 'time', 'number', 'team', 'want', 'concern', 'like'] 
Clause-12_20	 : ['point', 'frequent_flyer', 'bonus_points', 'apply', 'black', 'eligible', 'offer', 'credit', 'receive', 'platinum', 'eligible_bonus', 'k_bonus', 'qantas', 'happy', 'close', 'inconvenience_caused', 'investigate_matter', 'thank_opportunity', 'respond_concerns', 'considered_information', 'provided_known', 'accept_apologies', 'thanks_sharing', 'addressed_internally', 'pass', 'line_staff', 'lounge', 'relevant_areas', 'issues_raised', 'feedback', 'fund', 'transfer', 'process', 'receive', 'days', 'payment', 'request', 'happy', 'credit', 'international', 'allow_business', 'money', 'confirm', 'business_days', 'reimburse'] 
Clause-13	 : ['payment', 'pay', 'payments', 'date', 'receive', 'late', 'insurance', 'collections', 'arrears', 'days', 'month', 'stop', 'miss', 'jan', 'time', 'close', 'credit', 'request', 'closure', 'want', 'direct_debit', 'balance', 'debit', 'cancel', 'access_advantage', 'open', 'process', 'confirm', 'end', 'reinstate', 'error', 'incorrect', 'correct', 'number', 'confirm', 'issue', 'load', 'address', 'update', 'wrong', 'list', 'tax', 'password', 'claim', 'crn'] 
Clause-14a	 : ['fund', 'transfer', 'process', 'receive', 'days', 'payment', 'request', 'happy', 'credit', 'international', 'allow_business', 'money', 'confirm', 'business_days', 'reimburse', 'inconvenience_caused', 'investigate_matter', 'thank_opportunity', 'respond_concerns', 'considered_information', 'provided_known', 'accept_apologies', 'thanks_sharing', 'addressed_internally', 'pass', 'line_staff', 'lounge', 'relevant_areas', 'issues_raised', 'feedback', 'branch', 'staff', 'close', 'manager', 'atm', 'open', 'apologise', 'closure', 'happy', 'visit', 'feedback_passed', 'want', 'staff_member', 'provide', 'feedback'] 
Clause-14b	 : ['fund', 'transfer', 'process', 'receive', 'days', 'payment', 'request', 'happy', 'credit', 'international', 'allow_business', 'money', 'confirm', 'business_days', 'reimburse', 'terms_conditions', 'offer', 'online', 'website', 'state', 'time_frame', 'available', 'time', 'accept', 'read', 'flight', 'rewards_travel', 'adventure', 'honour', 'allow', 'balance_transfer', 'thank', 'box', 'away', 'general', 'print', 'receipt', 'father', 'email_address', 'info', 'agent', 'trust', 'daughter', 'drive', 'forward'] 
Clause-15	 : ['credit', 'balance', 'statement', 'purchase', 'pay', 'visa', 'platinum', 'happy', 'charge', 'issue', 'date', 'current', 'total', 'understand', 'review', 'terms_conditions', 'offer', 'online', 'website', 'state', 'time_frame', 'available', 'time', 'accept', 'read', 'flight', 'rewards_travel', 'adventure', 'honour', 'allow', 'fund', 'transfer', 'process', 'receive', 'days', 'payment', 'request', 'happy', 'credit', 'international', 'allow_business', 'money', 'confirm', 'business_days', 'reimburse'] 
Clause-16	 : ['fund', 'transfer', 'process', 'receive', 'days', 'payment', 'request', 'happy', 'credit', 'international', 'allow_business', 'money', 'confirm', 'business_days', 'reimburse', 'credit', 'balance', 'statement', 'purchase', 'pay', 'visa', 'platinum', 'happy', 'charge', 'issue', 'date', 'current', 'total', 'understand', 'review', 'branch', 'staff', 'close', 'manager', 'atm', 'open', 'apologise', 'closure', 'happy', 'visit', 'feedback_passed', 'want', 'staff_member', 'provide', 'feedback'] 
Clause-17	 : ['fund', 'transfer', 'process', 'receive', 'days', 'payment', 'request', 'happy', 'credit', 'international', 'allow_business', 'money', 'confirm', 'business_days', 'reimburse', 'personal_loan', 'pay', 'cost', 'incorrectly', 'unsuccessful', 'adv', 'recall', 'disclose', 'urgently', 'advice', 'dda', 'restraint', 'valid', 'unhappy', 'outcome', 'credit', 'balance', 'statement', 'purchase', 'pay', 'visa', 'platinum', 'happy', 'charge', 'issue', 'date', 'current', 'total', 'understand', 'review'] 
Clause-18	 : ['credit', 'balance', 'statement', 'purchase', 'pay', 'visa', 'platinum', 'happy', 'charge', 'issue', 'date', 'current', 'total', 'understand', 'review', 'branch', 'staff', 'close', 'manager', 'atm', 'open', 'apologise', 'closure', 'happy', 'visit', 'feedback_passed', 'want', 'staff_member', 'provide', 'feedback', 'close', 'credit', 'request', 'closure', 'want', 'direct_debit', 'balance', 'debit', 'cancel', 'access_advantage', 'open', 'process', 'confirm', 'end', 'reinstate'] 
Clause-18.1	 : ['service', 'poor_service', 'time', 'ask', 'staff', 'teller', 'blr_template', 'wait', 'people', 'like', 'case_actioned', 'know', 'transgender_marriage', 'train', 'today', 'fund', 'transfer', 'process', 'receive', 'days', 'payment', 'request', 'happy', 'credit', 'international', 'allow_business', 'money', 'confirm', 'business_days', 'reimburse', 'inconvenience_caused', 'investigate_matter', 'thank_opportunity', 'respond_concerns', 'considered_information', 'provided_known', 'accept_apologies', 'thanks_sharing', 'addressed_internally', 'pass', 'line_staff', 'lounge', 'relevant_areas', 'issues_raised', 'feedback'] 
