Clause-11	 : ['loan', 'settlement', 'pay', 'personal_loan', 'property', 'hardship', 'decline', 'claim', 'mortgage', 'client', 'document', 'release', 'broker', 'application', 'want', 'credit', 'payment', 'pay', 'debit', 'balance', 'process', 'payments', 'date', 'receive', 'cancel', 'end', 'request', 'confirm', 'stop', 'direct_debit', 'credit', 'payment', 'pay', 'debit', 'balance', 'process', 'payments', 'date', 'receive', 'cancel', 'end', 'request', 'confirm', 'stop', 'direct_debit'] 
Clause-12_20	 : ['receive', 'send', 'request', 'letter', 'statement', 'email', 'statements', 'provide', 'issue', 'confirm', 'information', 'address', 'contact', 'mail', 'apologise', 'change', 'rate', 'offer', 'rat', 'increase', 'apply', 'happy', 'unhappy', 'want', 'difference', 'current', 'product', 'state', 'cost', 'gesture', 'point', 'apply', 'frequent_flyer', 'credit', 'offer', 'bonus_points', 'black', 'receive', 'eligible', 'platinum', 'happy', 'new', 'eligible_bonus', 'months', 'k_bonus'] 
Clause-13	 : ['receive', 'send', 'request', 'letter', 'statement', 'email', 'statements', 'provide', 'issue', 'confirm', 'information', 'address', 'contact', 'mail', 'apologise', 'loan', 'settlement', 'pay', 'personal_loan', 'property', 'hardship', 'decline', 'claim', 'mortgage', 'client', 'document', 'release', 'broker', 'application', 'want', 'credit', 'payment', 'pay', 'debit', 'balance', 'process', 'payments', 'date', 'receive', 'cancel', 'end', 'request', 'confirm', 'stop', 'direct_debit'] 
Clause-14a	 : ['point', 'apply', 'frequent_flyer', 'credit', 'offer', 'bonus_points', 'black', 'receive', 'eligible', 'platinum', 'happy', 'new', 'eligible_bonus', 'months', 'k_bonus', 'fee', 'charge', 'credit', 'annual_fee', 'refund', 'break_free', 'package', 'reverse', 'waive', 'happy', 'pay', 'want', 'late_payment', 'reimburse', 'year', 'point', 'reward', 'credit', 'rewards_points', 'transfer', 'earn', 'change', 'platinum', 'number', 'offer', 'receive', 'miss', 'frequent_flyer', 'gwg', 'transaction_saved'] 
Clause-14b	 : ['access', 'overdraw', 'fund', 'remove', 'access_advantage', 'facility', 'overdraft', 'partner', 'want', 'able', 'party', 'draw', 'debit', 'happy', 'redraw', 'fee', 'charge', 'credit', 'annual_fee', 'refund', 'break_free', 'package', 'reverse', 'waive', 'happy', 'pay', 'want', 'late_payment', 'reimburse', 'year', 'time', 'tell', 'business', 'need', 'money', 'ask', 'work', 'new', 'come', 'day', 'pay', 'years', 'number', 'phone', 'look'] 
Clause-15	 : ['receive', 'send', 'request', 'letter', 'statement', 'email', 'statements', 'provide', 'issue', 'confirm', 'information', 'address', 'contact', 'mail', 'apologise', 'fund', 'transfer', 'cheque', 'process', 'deposit', 'money', 'receive', 'fraud', 'international', 'error', 'credit', 'transactions', 'insurance', 'happy', 'block', 'time', 'tell', 'business', 'need', 'money', 'ask', 'work', 'new', 'come', 'day', 'pay', 'years', 'number', 'phone', 'look'] 
Clause-16	 : ['fee', 'charge', 'credit', 'annual_fee', 'refund', 'break_free', 'package', 'reverse', 'waive', 'happy', 'pay', 'want', 'late_payment', 'reimburse', 'year', 'time', 'tell', 'business', 'need', 'money', 'ask', 'work', 'new', 'come', 'day', 'pay', 'years', 'number', 'phone', 'look', 'credit', 'payment', 'pay', 'debit', 'balance', 'process', 'payments', 'date', 'receive', 'cancel', 'end', 'request', 'confirm', 'stop', 'direct_debit'] 
Clause-17	 : ['fee', 'charge', 'credit', 'annual_fee', 'refund', 'break_free', 'package', 'reverse', 'waive', 'happy', 'pay', 'want', 'late_payment', 'reimburse', 'year', 'fund', 'transfer', 'cheque', 'process', 'deposit', 'money', 'receive', 'fraud', 'international', 'error', 'credit', 'transactions', 'insurance', 'happy', 'block', 'credit', 'payment', 'pay', 'debit', 'balance', 'process', 'payments', 'date', 'receive', 'cancel', 'end', 'request', 'confirm', 'stop', 'direct_debit'] 
Clause-18	 : ['receive', 'send', 'request', 'letter', 'statement', 'email', 'statements', 'provide', 'issue', 'confirm', 'information', 'address', 'contact', 'mail', 'apologise', 'poor_service', 'branch', 'service', 'staff', 'provide', 'want', 'apologise', 'happy', 'experience', 'phone', 'speak', 'term_deposit', 'staff_member', 'teller', 'feedback', 'credit', 'payment', 'pay', 'debit', 'balance', 'process', 'payments', 'date', 'receive', 'cancel', 'end', 'request', 'confirm', 'stop', 'direct_debit'] 
Clause-18.1	 : ['point', 'apply', 'frequent_flyer', 'credit', 'offer', 'bonus_points', 'black', 'receive', 'eligible', 'platinum', 'happy', 'new', 'eligible_bonus', 'months', 'k_bonus', 'fee', 'charge', 'credit', 'annual_fee', 'refund', 'break_free', 'package', 'reverse', 'waive', 'happy', 'pay', 'want', 'late_payment', 'reimburse', 'year', 'receive', 'send', 'request', 'letter', 'statement', 'email', 'statements', 'provide', 'issue', 'confirm', 'information', 'address', 'contact', 'mail', 'apologise'] 
Clause-18.2	 : ['receive', 'send', 'request', 'letter', 'statement', 'email', 'statements', 'provide', 'issue', 'confirm', 'information', 'address', 'contact', 'mail', 'apologise', 'poor_service', 'branch', 'service', 'staff', 'provide', 'want', 'apologise', 'happy', 'experience', 'phone', 'speak', 'term_deposit', 'staff_member', 'teller', 'feedback', 'time', 'tell', 'business', 'need', 'money', 'ask', 'work', 'new', 'come', 'day', 'pay', 'years', 'number', 'phone', 'look'] 
Clause-18.3_19	 : ['credit', 'payment', 'pay', 'debit', 'balance', 'process', 'payments', 'date', 'receive', 'cancel', 'end', 'request', 'confirm', 'stop', 'direct_debit', 'contact', 'email', 'send', 'team', 'number', 'issue', 'phone', 'receive', 'response', 'try', 'unable', 'travel', 'overseas', 'speak', 'com', 'access', 'overdraw', 'fund', 'remove', 'access_advantage', 'facility', 'overdraft', 'partner', 'want', 'able', 'party', 'draw', 'debit', 'happy', 'redraw'] 
Clause-21	 : ['credit', 'payment', 'pay', 'debit', 'balance', 'process', 'payments', 'date', 'receive', 'cancel', 'end', 'request', 'confirm', 'stop', 'direct_debit', 'access', 'overdraw', 'fund', 'remove', 'access_advantage', 'facility', 'overdraft', 'partner', 'want', 'able', 'party', 'draw', 'debit', 'happy', 'redraw', 'time', 'tell', 'business', 'need', 'money', 'ask', 'work', 'new', 'come', 'day', 'pay', 'years', 'number', 'phone', 'look'] 
Clause-22	 : ['dispute', 'transaction', 'atm', 'merchant', 'refund', 'unhappy', 'happy', 'process', 'outcome', 'apologise', 'lodge', 'decline', 'unsuccessful', 'resolve', 'credit', 'credit', 'payment', 'pay', 'debit', 'balance', 'process', 'payments', 'date', 'receive', 'cancel', 'end', 'request', 'confirm', 'stop', 'direct_debit', 'fund', 'transfer', 'cheque', 'process', 'deposit', 'money', 'receive', 'fraud', 'international', 'error', 'credit', 'transactions', 'insurance', 'happy', 'block'] 
Clause-23	 : ['fund', 'transfer', 'cheque', 'process', 'deposit', 'money', 'receive', 'fraud', 'international', 'error', 'credit', 'transactions', 'insurance', 'happy', 'block', 'fee', 'charge', 'credit', 'annual_fee', 'refund', 'break_free', 'package', 'reverse', 'waive', 'happy', 'pay', 'want', 'late_payment', 'reimburse', 'year', 'credit', 'payment', 'pay', 'debit', 'balance', 'process', 'payments', 'date', 'receive', 'cancel', 'end', 'request', 'confirm', 'stop', 'direct_debit'] 
Clause-24	 : ['receive', 'send', 'request', 'letter', 'statement', 'email', 'statements', 'provide', 'issue', 'confirm', 'information', 'address', 'contact', 'mail', 'apologise', 'contact', 'email', 'send', 'team', 'number', 'issue', 'phone', 'receive', 'response', 'try', 'unable', 'travel', 'overseas', 'speak', 'com', 'poor_service', 'branch', 'service', 'staff', 'provide', 'want', 'apologise', 'happy', 'experience', 'phone', 'speak', 'term_deposit', 'staff_member', 'teller', 'feedback'] 
Clause-25	 : ['time', 'tell', 'business', 'need', 'money', 'ask', 'work', 'new', 'come', 'day', 'pay', 'years', 'number', 'phone', 'look', 'contact', 'email', 'send', 'team', 'number', 'issue', 'phone', 'receive', 'response', 'try', 'unable', 'travel', 'overseas', 'speak', 'com', 'receive', 'send', 'request', 'letter', 'statement', 'email', 'statements', 'provide', 'issue', 'confirm', 'information', 'address', 'contact', 'mail', 'apologise'] 
Clause-26	 : ['receive', 'send', 'request', 'letter', 'statement', 'email', 'statements', 'provide', 'issue', 'confirm', 'information', 'address', 'contact', 'mail', 'apologise', 'credit', 'payment', 'pay', 'debit', 'balance', 'process', 'payments', 'date', 'receive', 'cancel', 'end', 'request', 'confirm', 'stop', 'direct_debit', 'time', 'tell', 'business', 'need', 'money', 'ask', 'work', 'new', 'come', 'day', 'pay', 'years', 'number', 'phone', 'look'] 
Clause-27	 : ['loan', 'settlement', 'pay', 'personal_loan', 'property', 'hardship', 'decline', 'claim', 'mortgage', 'client', 'document', 'release', 'broker', 'application', 'want', 'service', 'close', 'financial_ombudsman', 'registration', 'receive', 'file', 'case', 'offer', 'request', 'provide', 'concern', 'wife', 'dispute', 'resolved_fsp', 'state', 'receive', 'send', 'request', 'letter', 'statement', 'email', 'statements', 'provide', 'issue', 'confirm', 'information', 'address', 'contact', 'mail', 'apologise'] 
Clause-28	 : ['loan', 'settlement', 'pay', 'personal_loan', 'property', 'hardship', 'decline', 'claim', 'mortgage', 'client', 'document', 'release', 'broker', 'application', 'want', 'credit', 'payment', 'pay', 'debit', 'balance', 'process', 'payments', 'date', 'receive', 'cancel', 'end', 'request', 'confirm', 'stop', 'direct_debit', 'credit', 'application', 'months', 'limit', 'arrears', 'request', 'debt', 'apply', 'arrangement', 'provide', 'payments', 'income', 'contact', 'unable', 'approve'] 
